0.1,111,9,11,99
0.2,409,18,22,396
0.3,965,28,34,952
0.4,1678,37,45,1665
0.5,2589,46,56,2576
0.6,3698,55,67,3685
0.7,5005,64,78,4992
0.8,6673,74,90,6660
0.9,8397,83,101,8383
1,10318,92,112,10304
