FILEBASE, SCALE, BYTES, ACCA, ACCB, ACCAVG, OCRTIME
8503_001.2B, 0.9, 27642, 95, 97, 96.0, 1.96151709557
8550_001.2B, 0.9, 16544, 86, 97, 91.5, 1.27363991737
8560_001.2B, 0.9, 21806, 95, 95, 95.0, 1.89966988564
8743_001.2B, 0.9, 30258, 93, 95, 94.0, 3.27405619621
8540_001.2B, 0.9, 19358, 96, 98, 97.0, 2.11005806923
8719_001.2B, 0.9, 22780, 87, 90, 88.5, 3.41053390503
8518_001.2B, 0.9, 13690, 72, 89, 80.5, 1.44718194008
8702_001.2B, 0.9, 27058, 81, 83, 82.0, 4.96958708763
8750_002.2B, 0.9, 30926, 88, 89, 88.5, 2.3290989399
8513_001.2B, 0.9, 18500, 42, 46, 44.0, 3.84500598907
8734_002.2B, 0.9, 26010, 86, 87, 86.5, 2.470744133
8505_001.2B, 0.9, 67250, 94, 94, 94.0, 2.63262295723
8509_001.2B, 0.9, 39902, 94, 94, 94.0, 3.53741598129
8517_001.2B, 0.9, 11358, 89, 93, 91.0, 0.743920087814
8742_001.2B, 0.9, 25762, 94, 96, 95.0, 1.77934598923
8586_001.2B, 0.9, 9132, 71, 90, 80.5, 0.885542154312
8571_001.2B, 0.9, 24750, 78, 78, 78.0, 3.01095294952
8541_001.2B, 0.8, 27872, 94, 93, 93.5, 4.61071205139
8597_001.2B, 0.8, 14492, 87, 88, 87.5, 2.51437902451
8741_002.2B, 0.8, 10182, 97, 97, 97.0, 0.748975992203
8750_001.2B, 0.8, 23802, 89, 90, 89.5, 2.44355511665
8752_001.2B, 0.8, 31236, 81, 82, 81.5, 9.54595088959
8564_001.2B, 0.8, 21252, 71, 76, 73.5, 2.82448601723
8502_001.2B, 0.8, 25472, 93, 95, 94.0, 2.13793301582
8717_001.2B, 0.8, 23060, 81, 78, 79.5, 3.7582089901
8520_003.2B, 0.8, 25290, 94, 96, 95.0, 2.27315306664
8747_002.2B, 0.8, 29690, 98, 98, 98.0, 1.76560711861
8749_002.2B, 0.8, 27688, 77, 62, 69.5, 2.71588587761
8529_002.2B, 0.8, 5842, 72, 87, 79.5, 1.12982296944
8729_001.2B, 0.8, 27360, 87, 88, 87.5, 4.05004191399
8523_001.2B, 0.8, 30704, 76, 78, 77.0, 6.12603402138
8710_001.2B, 0.8, 15632, 78, 79, 78.5, 3.71076107025
8584_001.2B, 0.8, 21728, 95, 96, 95.5, 2.7234389782
8501_001.2B, 0.8, 10956, 92, 94, 93.0, 1.00323414803
8592_001.2B, 0.8, 14498, 96, 97, 96.5, 1.05764603615
8570_001.2B, 0.8, 7530, 75, 79, 77.0, 1.47214412689
8508_001.2B, 0.8, 31638, 90, 94, 92.0, 4.13939404488
8759_004.2B, 0.8, 28476, 69, 71, 70.0, 7.21990704536
8734_001.2B, 0.8, 23676, 77, 79, 78.0, 4.4582798481
8538_001.2B, 0.8, 19472, 93, 95, 94.0, 3.30711197853
8759_002.2B, 0.8, 27230, 95, 95, 95.0, 4.04422688484
8580_001.2B, 0.8, 9830, 100, 100, 100.0, 1.16143798828
8601_001.2B, 0.8, 29260, 96, 97, 96.5, 3.24437499046
8555_001.2B, 0.8, 21322, 81, 86, 83.5, 2.54008388519
8541_002.2B, 0.8, 26008, 94, 93, 93.5, 4.01171588898
8547_001.2B, 0.8, 9236, 88, 87, 87.5, 0.940657138824
8536_001.2B, 0.8, 22506, 78, 84, 81.0, 4.0771780014
8599_001.2B, 0.8, 18072, 85, 86, 85.5, 2.01369214058
8736_001.2B, 0.8, 16680, 85, 85, 85.0, 2.94536495209
8562_001.2B, 0.8, 9998, 87, 87, 87.0, 1.0102891922
8758_002.2B, 0.8, 31584, 97, 97, 97.0, 4.7313978672
8750_003.2B, 0.8, 26142, 88, 88, 88.0, 1.95410990715
8581_001.2B, 0.8, 18234, 95, 97, 96.0, 1.95086884499
8596_001.2B, 0.8, 16632, 94, 97, 95.5, 2.03820109367
8537_001.2B, 0.8, 8306, 66, 86, 76.0, 1.6721560955
8742_002.2B, 0.8, 8372, 95, 96, 95.5, 0.737509965897
8704_001.2B, 0.8, 14534, 91, 96, 93.5, 1.98570108414
8522_001.2B, 0.8, 25004, 86, 87, 86.5, 4.74211597443
8559_001.2B, 0.8, 18422, 80, 84, 82.0, 3.32525491714
8709_001.2B, 0.8, 19956, 83, 87, 85.0, 3.19235992432
8751_001.2B, 0.8, 19486, 70, 80, 75.0, 1.80390787125
8728_001.2B, 0.8, 17458, 93, 94, 93.5, 1.18795108795
8712_001.2B, 0.8, 23860, 79, 82, 80.5, 5.43412303925
8510_001.2B, 0.8, 21208, 85, 86, 85.5, 3.16244888306
8753_001.2B, 0.8, 39444, 84, 89, 86.5, 7.95439386368
8755_001.2B, 0.8, 19646, 97, 97, 97.0, 1.78027105331
8504_001.2B, 0.8, 15370, 84, 85, 84.5, 2.57941007614
8701_001.2B, 0.8, 20698, 90, 86, 88.0, 2.05557012558
8705_001.2B, 0.8, 20614, 70, 77, 73.5, 3.30925488472
8718_001.2B, 0.8, 18194, 40, 45, 42.5, 6.193764925
8745_001.2B, 0.8, 24014, 80, 82, 81.0, 1.82621884346
8593_001.2B, 0.8, 14958, 86, 88, 87.0, 1.45524311066
8724_001.2B, 0.8, 36812, 43, 76, 59.5, 9.12418699265
8568_001.2B, 0.8, 13420, 81, 82, 81.5, 1.82154202461
8744_001.2B, 0.8, 34182, 83, 85, 84.0, 6.53339481354
8739_001.2B, 0.8, 31740, 95, 94, 94.5, 3.38211989403
8737_001.2B, 0.8, 26918, 98, 98, 98.0, 1.68136906624
8579_001.2B, 0.8, 14208, 59, 71, 65.0, 2.35388112068
8755_002.2B, 0.8, 27442, 97, 97, 97.0, 1.95825004578
8591_001.2B, 0.8, 27092, 96, 96, 96.0, 3.09667301178
8750_004.2B, 0.8, 10146, 87, 86, 86.5, 0.846545934677
8542_001.2B, 0.8, 17500, 87, 88, 87.5, 1.15801382065
8577_001.2B, 0.8, 13168, 73, 72, 72.5, 2.15647482872
8720_001.2B, 0.8, 28618, 83, 89, 86.0, 2.58318209648
8561_001.2B, 0.8, 31766, 95, 96, 95.5, 1.98319101334
8534_001.2B, 0.8, 21694, 94, 97, 95.5, 1.5610640049
8590_001.2B, 0.8, 28500, 75, 81, 78.0, 3.30573105812
8528_001.2B, 0.8, 7286, 83, 97, 90.0, 0.668427944183
8746_001.2B, 0.8, 19926, 92, 95, 93.5, 1.80248904228
8506_001.2B, 0.8, 16206, 75, 82, 78.5, 2.00248003006
8539_001.2B, 0.8, 17214, 87, 89, 88.0, 1.31231999397
8572_001.2B, 0.8, 12526, 83, 91, 87.0, 2.1337749958
8726_001.2B, 0.8, 17502, 81, 84, 82.5, 2.78607010841
8707_001.2B, 0.8, 19814, 87, 90, 88.5, 1.93396282196
8700_001.2B, 0.8, 26490, 87, 90, 88.5, 3.49942302704
8583_001.2B, 0.8, 13640, 78, 81, 79.5, 2.10034394264
8754_001.2B, 0.8, 25768, 90, 90, 90.0, 3.94188380241
8733_002.2B, 0.8, 9678, 94, 90, 92.0, 0.582306146622
8736_002.2B, 0.8, 7190, 81, 82, 81.5, 1.61331605911
8546_001.2B, 0.8, 15902, 81, 84, 82.5, 2.62972402573
8760_002.2B, 0.8, 15592, 91, 93, 92.0, 2.40704894066
8753_002.2B, 0.8, 42836, 94, 94, 94.0, 7.91027498245
8514_001.2B, 0.8, 23804, 64, 67, 65.5, 6.13234496117
8752_003.2B, 0.8, 18262, 76, 76, 76.0, 5.48017001152
8714_001.2B, 0.8, 18434, 83, 89, 86.0, 2.20186495781
8708_001.2B, 0.8, 19554, 94, 95, 94.5, 2.28192400932
8598_001.2B, 0.8, 13202, 96, 97, 96.5, 2.02205300331
8727_001.2B, 0.8, 25184, 86, 86, 86.0, 4.05943179131
8574_002.2B, 0.8, 11138, 49, 51, 50.0, 0.816148042679
8713_001.2B, 0.8, 19834, 89, 91, 90.0, 2.55813002586
8524_001.2B, 0.8, 20662, 82, 90, 86.0, 3.73370218277
8735_001.2B, 0.8, 16818, 84, 89, 86.5, 1.99255299568
8721_003.2B, 0.8, 20048, 88, 84, 86.0, 2.34387302399
8549_001.2B, 0.8, 8740, 73, 83, 78.0, 1.0559630394
8553_001.2B, 0.8, 17762, 95, 96, 95.5, 2.06669998169
8591_002.2B, 0.8, 2758, 85, 92, 88.5, 0.342892885208
8761_001.2B, 0.8, 16754, 76, 96, 86.0, 1.41916799545
8711_001.2B, 0.8, 15578, 81, 81, 81.0, 2.04650807381
8558_001.2B, 0.8, 19692, 83, 85, 84.0, 3.5822968483
8716_001.2B, 0.8, 25314, 88, 90, 89.0, 3.65886807442
8737_002.2B, 0.8, 24702, 98, 99, 98.5, 1.46712994576
8751_002.2B, 0.8, 20564, 94, 94, 94.0, 1.78121781349
8758_004.2B, 0.8, 23230, 94, 95, 94.5, 3.93739795685
8507_001.2B, 0.8, 14342, 73, 78, 75.5, 2.73847293854
8739_002.2B, 0.8, 31214, 91, 91, 91.0, 3.61953902245
8721_001.2B, 0.8, 26448, 90, 86, 88.0, 3.19363093376
8520_002.2B, 0.8, 33754, 94, 95, 94.5, 2.96163010597
8533_001.2B, 0.8, 8250, 97, 96, 96.5, 1.10839414597
8566_001.2B, 0.8, 11800, 93, 96, 94.5, 1.14549922943
8595_001.2B, 0.8, 11386, 94, 94, 94.0, 0.946607112885
8576_001.2B, 0.8, 10530, 80, 87, 83.5, 1.50280594826
8723_002.2B, 0.8, 30602, 97, 97, 97.0, 2.75287008286
8735_002.2B, 0.8, 9138, 87, 92, 89.5, 1.36441016197
8516_001.2B, 0.8, 18012, 72, 76, 74.0, 1.65717506409
8747_001.2B, 0.8, 28922, 84, 80, 82.0, 3.70566082001
8519_001.2B, 0.8, 23434, 89, 92, 90.5, 2.38555288315
8565_001.2B, 0.8, 12874, 97, 97, 97.0, 1.34760499001
8567_001.2B, 0.8, 27548, 59, 60, 59.5, 6.64076399803
8724_002.2B, 0.8, 24658, 84, 85, 84.5, 6.43581700325
8588_001.2B, 0.8, 13030, 92, 92, 92.0, 1.74819803238
8706_001.2B, 0.8, 24884, 92, 89, 90.5, 3.09020900726
8530_001.2B, 0.8, 12478, 75, 92, 83.5, 1.70054793358
8721_002.2B, 0.8, 23264, 85, 83, 84.0, 2.60417699814
8748_002.2B, 0.8, 29714, 96, 87, 91.5, 1.83266496658
8527_001.2B, 0.8, 13838, 73, 77, 75.0, 3.13802099228
8738_001.2B, 0.8, 27888, 78, 88, 83.0, 3.51160502434
8758_003.2B, 0.8, 37110, 97, 97, 97.0, 5.65857696533
8731_001.2B, 0.8, 18738, 68, 74, 71.0, 2.07463312149
8554_001.2B, 0.8, 10034, 91, 91, 91.0, 1.59444999695
8754_002.2B, 0.8, 24430, 84, 86, 85.0, 3.58629393578
8557_001.2B, 0.8, 19590, 72, 79, 75.5, 2.45260882378
8723_001.2B, 0.8, 27614, 90, 91, 90.5, 3.40013599396
8556_001.2B, 0.8, 10294, 95, 95, 95.0, 1.20866799355
8733_001.2B, 0.8, 18332, 90, 90, 90.0, 1.48080205917
8730_001.2B, 0.8, 17154, 88, 90, 89.0, 1.70888590813
8531_001.2B, 0.8, 18932, 89, 92, 90.5, 2.99984002113
8715_001.2B, 0.8, 23416, 66, 71, 68.5, 4.1187210083
8600_001.2B, 0.8, 12060, 94, 94, 94.0, 1.60017204285
8740_001.2B, 0.8, 18336, 77, 90, 83.5, 2.7713830471
8740_002.2B, 0.8, 20850, 89, 90, 89.5, 2.79816389084
8582_001.2B, 0.8, 16808, 93, 93, 93.0, 2.58174014091
8575_001.2B, 0.8, 9216, 89, 91, 90.0, 1.40172696114
8552_001.2B, 0.8, 14532, 80, 83, 81.5, 1.47959399223
8703_001.2B, 0.8, 19614, 77, 83, 80.0, 2.98749709129
8589_001.2B, 0.8, 9160, 67, 71, 69.0, 1.24391007423
8525_001.2B, 0.8, 38840, 91, 92, 91.5, 5.37638998032
8743_002.2B, 0.8, 17014, 94, 94, 94.0, 2.4006998539
8569_001.2B, 0.8, 20414, 61, 77, 69.0, 3.41575193405
8745_002.2B, 0.8, 8118, 91, 90, 90.5, 0.614073991776
8749_001.2B, 0.8, 18316, 84, 87, 85.5, 1.27599906921
8759_001.2B, 0.8, 25588, 89, 91, 90.0, 4.31095004082
8548_001.2B, 0.8, 14784, 85, 89, 87.0, 2.40100598335
8526_001.2B, 0.8, 13596, 86, 89, 87.5, 1.55349397659
8529_001.2B, 0.8, 30706, 90, 91, 90.5, 4.1848731041
8535_001.2B, 0.8, 14234, 38, 44, 41.0, 1.68320083618
8500_001.2B, 0.8, 26220, 95, 100, 97.5, 2.10072398186
8594_001.2B, 0.8, 8962, 76, 80, 78.0, 1.58263492584
8725_001.2B, 0.8, 25152, 92, 92, 92.0, 1.87291288376
8520_001.2B, 0.8, 26838, 89, 88, 88.5, 2.33031010628
8756_001.2B, 0.8, 23138, 91, 91, 91.0, 3.97432398796
8752_002.2B, 0.8, 37138, 84, 83, 83.5, 10.0525770187
8758_001.2B, 0.8, 29842, 88, 94, 91.0, 4.2283949852
8744_002.2B, 0.8, 31854, 56, 55, 55.5, 11.2533819675
8521_001.2B, 0.8, 19142, 77, 81, 79.0, 2.60896110535
8759_003.2B, 0.8, 27046, 91, 91, 91.0, 3.90844607353
8573_001.2B, 0.8, 18724, 91, 91, 91.0, 2.76016688347
8544_001.2B, 0.8, 21442, 83, 83, 83.0, 5.37628078461
8585_001.2B, 0.8, 12362, 95, 97, 96.0, 1.59796690941
8578_001.2B, 0.8, 11800, 74, 77, 75.5, 1.11126708984
8722_001.2B, 0.8, 24682, 93, 94, 93.5, 1.8919467926
8760_001.2B, 0.8, 21374, 90, 90, 90.0, 4.04629302025
8545_001.2B, 0.8, 10338, 76, 87, 81.5, 1.25227594376
8748_001.2B, 0.8, 41642, 60, 64, 62.0, 9.77346491814
8574_001.2B, 0.8, 22902, 89, 96, 92.5, 1.90002393723
8587_001.2B, 0.8, 13644, 95, 95, 95.0, 1.51550602913
8515_001.2B, 0.8, 14306, 80, 83, 81.5, 2.23005795479
8512_001.2B, 0.8, 5920, 39, 48, 43.5, 0.869672060013
8563_001.2B, 0.8, 18560, 73, 76, 74.5, 3.41429114342
8551_001.2B, 0.8, 9874, 79, 88, 83.5, 1.52875614166
8741_001.2B, 0.8, 16658, 84, 83, 83.5, 1.74548697472
8503_001.2B, 0.8, 24614, 96, 97, 96.5, 2.05195021629
8550_001.2B, 0.8, 14708, 84, 96, 90.0, 1.21443891525
8560_001.2B, 0.8, 19610, 92, 92, 92.0, 1.81193995476
8743_001.2B, 0.8, 26706, 94, 95, 94.5, 3.50422906876
8540_001.2B, 0.8, 17464, 95, 96, 95.5, 2.08649396896
8719_001.2B, 0.8, 20418, 83, 85, 84.0, 3.60189414024
8518_001.2B, 0.8, 12296, 70, 84, 77.0, 1.64740419388
8702_001.2B, 0.8, 24600, 81, 83, 82.0, 4.87529802322
8750_002.2B, 0.8, 27824, 84, 84, 84.0, 2.32132482529
8513_001.2B, 0.8, 16744, 47, 46, 46.5, 4.10320115089
8734_002.2B, 0.8, 23516, 87, 88, 87.5, 2.04555106163
8505_001.2B, 0.8, 58244, 96, 96, 96.0, 2.70196008682
8509_001.2B, 0.8, 35774, 89, 92, 90.5, 4.00350403786
8517_001.2B, 0.8, 10064, 92, 95, 93.5, 0.740970134735
8742_001.2B, 0.8, 23236, 96, 96, 96.0, 1.79158806801
8586_001.2B, 0.8, 8054, 67, 89, 78.0, 0.878443956375
8571_001.2B, 0.8, 22286, 83, 82, 82.5, 3.08756613731
8541_001.2B, 0.7, 24520, 66, 65, 65.5, 11.7802729607
8597_001.2B, 0.7, 12780, 81, 84, 82.5, 2.74220991135
8741_002.2B, 0.7, 9192, 92, 94, 93.0, 1.36595082283
8750_001.2B, 0.7, 20826, 40, 44, 42.0, 2.8505320549
8752_001.2B, 0.7, 27240, 17, 16, 16.5, 16.7119419575
8564_001.2B, 0.7, 18624, 71, 74, 72.5, 2.89291095734
8502_001.2B, 0.7, 22304, 89, 90, 89.5, 2.31913089752
8717_001.2B, 0.7, 20434, 76, 75, 75.5, 3.938352108
8520_003.2B, 0.7, 22308, 77, 79, 78.0, 7.86501693726
8747_002.2B, 0.7, 26200, 97, 98, 97.5, 1.81381082535
8749_002.2B, 0.7, 24394, 76, 61, 68.5, 2.34915494919
8529_002.2B, 0.7, 5140, 72, 82, 77.0, 1.31066393852
8729_001.2B, 0.7, 23840, 82, 82, 82.0, 4.67854118347
8523_001.2B, 0.7, 26862, 29, 29, 29.0, 9.96052384377
8710_001.2B, 0.7, 13876, 35, 33, 34.0, 7.64511108398
8584_001.2B, 0.7, 19214, 94, 95, 94.5, 3.16666698456
8501_001.2B, 0.7, 9624, 87, 90, 88.5, 1.04295492172
8592_001.2B, 0.7, 12624, 94, 94, 94.0, 1.09077191353
8570_001.2B, 0.7, 6668, 73, 76, 74.5, 1.35123896599
8508_001.2B, 0.7, 27932, 89, 91, 90.0, 4.42442512512
8759_004.2B, 0.7, 25490, 61, 64, 62.5, 6.62498283386
8734_001.2B, 0.7, 20720, 56, 57, 56.5, 5.66737294197
8538_001.2B, 0.7, 17168, 91, 92, 91.5, 3.63438105583
8759_002.2B, 0.7, 24246, 93, 94, 93.5, 4.63740491867
8580_001.2B, 0.7, 8706, 98, 98, 98.0, 1.25098395348
8601_001.2B, 0.7, 25706, 94, 95, 94.5, 3.77526783943
8555_001.2B, 0.7, 18790, 85, 87, 86.0, 2.75414586067
8541_002.2B, 0.7, 22904, 64, 64, 64.0, 9.25910806656
8547_001.2B, 0.7, 8026, 84, 90, 87.0, 1.05155301094
8536_001.2B, 0.7, 19800, 75, 79, 77.0, 4.59478807449
8599_001.2B, 0.7, 16028, 86, 87, 86.5, 2.09137988091
8736_001.2B, 0.7, 14710, 83, 84, 83.5, 3.95274686813
8562_001.2B, 0.7, 9092, 90, 85, 87.5, 0.869989156723
8758_002.2B, 0.7, 28386, 95, 95, 95.0, 4.8775780201
8750_003.2B, 0.7, 23126, 88, 88, 88.0, 2.09574604034
8581_001.2B, 0.7, 16188, 98, 98, 98.0, 2.01366090775
8596_001.2B, 0.7, 14626, 96, 98, 97.0, 2.28906416893
8537_001.2B, 0.7, 7188, 37, 50, 43.5, 2.5788500309
8742_002.2B, 0.7, 7410, 95, 96, 95.5, 0.74617600441
8704_001.2B, 0.7, 12736, 85, 90, 87.5, 2.43987894058
8522_001.2B, 0.7, 21832, 80, 82, 81.0, 6.02881503105
8559_001.2B, 0.7, 16232, 72, 78, 75.0, 3.30100512505
8709_001.2B, 0.7, 17568, 80, 83, 81.5, 3.41162395477
8751_001.2B, 0.7, 17004, 68, 76, 72.0, 3.76544809341
8728_001.2B, 0.7, 15418, 91, 93, 92.0, 1.28763413429
8712_001.2B, 0.7, 21066, 39, 41, 40.0, 10.0135660172
8510_001.2B, 0.7, 18606, 82, 83, 82.5, 4.03129506111
8753_001.2B, 0.7, 34790, 81, 83, 82.0, 9.25542998314
8755_001.2B, 0.7, 17552, 94, 95, 94.5, 2.31584811211
8504_001.2B, 0.7, 13550, 81, 82, 81.5, 2.63341903687
8701_001.2B, 0.7, 18304, 83, 81, 82.0, 2.48099207878
8705_001.2B, 0.7, 18164, 71, 79, 75.0, 3.61463093758
8718_001.2B, 0.7, 15740, 25, 23, 24.0, 6.23838019371
8745_001.2B, 0.7, 20848, 83, 84, 83.5, 1.76116299629
8593_001.2B, 0.7, 13030, 85, 85, 85.0, 1.48245310783
8724_001.2B, 0.7, 31728, 28, 41, 34.5, 11.2227649689
8568_001.2B, 0.7, 11814, 78, 79, 78.5, 1.78252792358
8744_001.2B, 0.7, 30208, 71, 73, 72.0, 10.5470230579
8739_001.2B, 0.7, 28088, 91, 92, 91.5, 3.75858211517
8737_001.2B, 0.7, 23698, 97, 97, 97.0, 1.76169896126
8579_001.2B, 0.7, 12428, 46, 53, 49.5, 3.50791788101
8755_002.2B, 0.7, 24380, 93, 94, 93.5, 4.02359390259
8591_001.2B, 0.7, 23900, 93, 93, 93.0, 3.40694212914
8750_004.2B, 0.7, 8908, 63, 66, 64.5, 1.05845999718
8542_001.2B, 0.7, 15444, 93, 94, 93.5, 1.36213994026
8577_001.2B, 0.7, 11538, 73, 73, 73.0, 2.35989379883
8720_001.2B, 0.7, 25300, 84, 85, 84.5, 5.45539999008
8561_001.2B, 0.7, 27690, 82, 85, 83.5, 3.02238297462
8534_001.2B, 0.7, 18936, 95, 97, 96.0, 1.59787297249
8590_001.2B, 0.7, 24856, 50, 55, 52.5, 6.79648804665
8528_001.2B, 0.7, 6364, 86, 88, 87.0, 0.731900930405
8746_001.2B, 0.7, 17556, 82, 83, 82.5, 5.61244106293
8506_001.2B, 0.7, 14282, 75, 80, 77.5, 3.21090984344
8539_001.2B, 0.7, 15126, 87, 90, 88.5, 1.3594648838
8572_001.2B, 0.7, 10982, 77, 86, 81.5, 3.33725786209
8726_001.2B, 0.7, 15498, 80, 82, 81.0, 3.06208491325
8707_001.2B, 0.7, 17450, 84, 85, 84.5, 1.90083694458
8700_001.2B, 0.7, 23492, 85, 88, 86.5, 4.04531884193
8583_001.2B, 0.7, 12184, 69, 70, 69.5, 3.53657603264
8754_001.2B, 0.7, 22594, 82, 83, 82.5, 4.52502584457
8733_002.2B, 0.7, 8452, 93, 89, 91.0, 0.564738035202
8736_002.2B, 0.7, 6360, 72, 70, 71.0, 1.76784896851
8546_001.2B, 0.7, 14156, 77, 78, 77.5, 2.91706109047
8760_002.2B, 0.7, 13976, 88, 89, 88.5, 2.61396503448
8753_002.2B, 0.7, 38004, 91, 92, 91.5, 9.09818410873
8514_001.2B, 0.7, 21062, 54, 55, 54.5, 6.19014406204
8752_003.2B, 0.7, 15944, 20, 18, 19.0, 9.89053893089
8714_001.2B, 0.7, 16310, 82, 88, 85.0, 2.40847396851
8708_001.2B, 0.7, 17346, 88, 89, 88.5, 2.67085504532
8598_001.2B, 0.7, 11654, 95, 96, 95.5, 2.1680328846
8727_001.2B, 0.7, 22384, 77, 77, 77.0, 5.75570607185
8574_002.2B, 0.7, 9708, 94, 97, 95.5, 0.897958993912
8713_001.2B, 0.7, 17504, 90, 93, 91.5, 2.65325713158
8524_001.2B, 0.7, 18150, 77, 85, 81.0, 3.96634912491
8735_001.2B, 0.7, 14818, 78, 82, 80.0, 3.40561819077
8721_003.2B, 0.7, 17590, 87, 84, 85.5, 2.39332389832
8549_001.2B, 0.7, 7734, 69, 77, 73.0, 1.0424258709
8553_001.2B, 0.7, 15724, 92, 94, 93.0, 2.20156598091
8591_002.2B, 0.7, 2496, 84, 84, 84.0, 0.385294914246
8761_001.2B, 0.7, 14648, 78, 94, 86.0, 1.48292398453
8711_001.2B, 0.7, 13730, 82, 82, 82.0, 2.4319229126
8558_001.2B, 0.7, 17452, 75, 76, 75.5, 3.70309495926
8716_001.2B, 0.7, 22358, 86, 88, 87.0, 4.11110782623
8737_002.2B, 0.7, 21674, 97, 97, 97.0, 1.48586201668
8751_002.2B, 0.7, 18248, 84, 85, 84.5, 4.2090959549
8758_004.2B, 0.7, 20662, 92, 93, 92.5, 4.3997399807
8507_001.2B, 0.7, 12420, 69, 72, 70.5, 2.93908691406
8739_002.2B, 0.7, 27268, 89, 89, 89.0, 3.87732815742
8721_001.2B, 0.7, 23146, 84, 82, 83.0, 3.64622497559
8520_002.2B, 0.7, 29660, 52, 54, 53.0, 10.7659299374
8533_001.2B, 0.7, 7230, 98, 98, 98.0, 1.05297517776
8566_001.2B, 0.7, 10412, 85, 91, 88.0, 1.05716514587
8595_001.2B, 0.7, 10018, 92, 94, 93.0, 1.24857211113
8576_001.2B, 0.7, 9356, 57, 61, 59.0, 3.30678915977
8723_002.2B, 0.7, 26778, 96, 97, 96.5, 2.93759298325
8735_002.2B, 0.7, 8232, 89, 89, 89.0, 1.40904402733
8516_001.2B, 0.7, 15650, 41, 44, 42.5, 1.75692200661
8747_001.2B, 0.7, 25492, 79, 72, 75.5, 3.67649817467
8519_001.2B, 0.7, 20452, 88, 90, 89.0, 2.83188605309
8565_001.2B, 0.7, 11346, 92, 93, 92.5, 1.44713282585
8567_001.2B, 0.7, 23706, 59, 60, 59.5, 6.59607601166
8724_002.2B, 0.7, 21774, 52, 54, 53.0, 9.06081104279
8588_001.2B, 0.7, 11574, 89, 92, 90.5, 1.8228290081
8706_001.2B, 0.7, 21696, 91, 88, 89.5, 3.82301616669
8530_001.2B, 0.7, 11036, 85, 95, 90.0, 1.50320291519
8721_002.2B, 0.7, 20484, 85, 78, 81.5, 2.97596287727
8748_002.2B, 0.7, 26018, 94, 87, 90.5, 1.73462104797
8527_001.2B, 0.7, 12316, 63, 65, 64.0, 4.10713195801
8738_001.2B, 0.7, 24008, 75, 85, 80.0, 4.98562502861
8758_003.2B, 0.7, 33038, 96, 96, 96.0, 6.2618060112
8731_001.2B, 0.7, 15896, 54, 57, 55.5, 4.53952097893
8554_001.2B, 0.7, 8900, 91, 93, 92.0, 1.64640498161
8754_002.2B, 0.7, 21418, 82, 85, 83.5, 4.17030692101
8557_001.2B, 0.7, 17150, 69, 76, 72.5, 2.68566298485
8723_001.2B, 0.7, 24342, 87, 90, 88.5, 3.23682999611
8556_001.2B, 0.7, 8948, 92, 92, 92.0, 1.4415500164
8733_001.2B, 0.7, 16078, 88, 90, 89.0, 1.58466291428
8730_001.2B, 0.7, 15090, 71, 73, 72.0, 5.54692602158
8531_001.2B, 0.7, 16718, 86, 89, 87.5, 3.16116404533
8715_001.2B, 0.7, 20634, 73, 73, 73.0, 5.32136106491
8600_001.2B, 0.7, 10732, 92, 94, 93.0, 1.82506299019
8740_001.2B, 0.7, 15882, 67, 72, 69.5, 4.79466795921
8740_002.2B, 0.7, 18502, 70, 73, 71.5, 5.32235908508
8582_001.2B, 0.7, 14924, 61, 61, 61.0, 5.11226701736
8575_001.2B, 0.7, 8230, 79, 82, 80.5, 2.24435806274
8552_001.2B, 0.7, 12894, 81, 83, 82.0, 1.84033584595
8703_001.2B, 0.7, 17224, 83, 75, 79.0, 2.81907200813
8589_001.2B, 0.7, 8070, 78, 82, 80.0, 1.44486403465
8525_001.2B, 0.7, 32736, 86, 89, 87.5, 7.20963716507
8743_002.2B, 0.7, 15046, 93, 93, 93.0, 3.1755361557
8569_001.2B, 0.7, 17776, 58, 73, 65.5, 3.0203769207
8745_002.2B, 0.7, 7062, 90, 90, 90.0, 0.594865083694
8749_001.2B, 0.7, 16086, 82, 86, 84.0, 1.28204798698
8759_001.2B, 0.7, 22428, 83, 85, 84.0, 4.60218787193
8548_001.2B, 0.7, 13116, 90, 93, 91.5, 2.38892412186
8526_001.2B, 0.7, 11974, 78, 90, 84.0, 1.58431720734
8529_001.2B, 0.7, 27348, 90, 91, 90.5, 4.71389913559
8535_001.2B, 0.7, 12294, 30, 34, 32.0, 1.85557103157
8500_001.2B, 0.7, 23038, 94, 98, 96.0, 2.6183450222
8594_001.2B, 0.7, 7926, 75, 77, 76.0, 1.41848278046
8725_001.2B, 0.7, 22074, 75, 75, 75.0, 2.19954800606
8520_001.2B, 0.7, 23572, 73, 72, 72.5, 8.84087896347
8756_001.2B, 0.7, 20294, 81, 82, 81.5, 4.85266685486
8752_002.2B, 0.7, 32434, 21, 20, 20.5, 20.3823509216
8758_001.2B, 0.7, 26132, 88, 93, 90.5, 4.49940514565
8744_002.2B, 0.7, 28306, 34, 35, 34.5, 15.6617970467
8521_001.2B, 0.7, 16688, 77, 79, 78.0, 2.49422097206
8759_003.2B, 0.7, 23944, 90, 89, 89.5, 4.23114395142
8573_001.2B, 0.7, 16702, 85, 86, 85.5, 3.04080486298
8544_001.2B, 0.7, 18824, 50, 49, 49.5, 7.48930978775
